,Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Daily Win Rate,Market Exposure,Orders,Completed Trades,Trade Win Rate,Average Trade Return,Profit Factor
Moving Average,42166.08094355275,3.2166080943552746,0.09417542393374179,0.1321972113015723,0.7483026919464012,0.7757017611323052,-0.33717242951646176,0.5584415584415584,0.7845427435387674,21,10,0.8,0.1561486491355129,13.673943180260165
Momentum,34859.92652390147,2.485992652390147,0.08123132706079605,0.11576301748270369,0.7337625748575223,0.8147290255910399,-0.2394823257364087,0.5517131979695431,0.7833001988071571,111,55,0.2,0.026630638443678873,3.633100467538609
Mean Reversion,21880.489698102025,1.1880489698102026,0.0501905888223928,0.1305985871352405,0.44094490027289485,0.29568802977789843,-0.3135485439313337,0.5492125984251969,0.2524850894632207,172,86,0.8023255813953488,0.009753106787077265,2.2039431847202886
Buy and Hold,80119.50214849185,7.011950214849186,0.13899633740334738,0.17207553689375543,0.8437688883955563,1.036306400430666,-0.3371724295164621,0.5540641312453393,0.9997514910536779,1,0,,,
