,Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Daily Win Rate,Market Exposure,Orders,Completed Trades,Trade Win Rate,Average Trade Return,Profit Factor
Moving Average,22282.23441757315,1.228223441757315,0.09323148789148883,0.10907489170130527,0.8723936026558291,0.9900440916514408,-0.17351937826619834,0.5538805136795086,0.791077738515901,12,6,0.8333333333333334,0.15927710896725872,13.612594344149299
Momentum,20751.22345420634,1.0751223454206342,0.08460769593995532,0.10578919857438776,0.8212164554314701,0.9579198323733543,-0.1423011315834425,0.5461580983969043,0.7990282685512368,56,28,0.25,0.034345642562092014,4.736590640045579
Mean Reversion,19598.60674069493,0.959860674069493,0.07773379087270982,0.10603968290672744,0.7594565541770498,0.5248706761467083,-0.15190151961782572,0.5686274509803921,0.247791519434629,107,53,0.8301886792452831,0.013994622622993521,3.880382667226614
Buy and Hold,26407.465744370802,1.6407465744370802,0.11408720270410644,0.14911147344908793,0.799724756712427,1.003657774500904,-0.19348886351065775,0.5510384445426425,0.9995583038869258,1,0,,,
