lookback_window,entry_z_score,exit_z_score,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,completed_trades,orders
20,1.5,0.5,0.959860674069493,0.07773379087270982,0.7594565541770498,0.5248706761467083,-0.15190151961782572,53,107
20,2.0,0.5,0.7795548094986342,0.06622381526590448,0.6904662463415243,0.42740628114293966,-0.1102482284942633,39,79
20,1.0,0.5,0.8600192525488464,0.07148266498063904,0.6738466041375543,0.4977418250860279,-0.15436599795326167,64,129
10,1.5,0.5,0.8131098488008477,0.06844202591036641,0.67273617557079,0.5040447336963881,-0.1376434161404535,86,173
40,1.0,0.5,0.7535144863246377,0.06447661086154,0.6351584564545559,0.43540042183681,-0.1257024303589822,35,71
10,1.0,0.5,0.7932866610265901,0.0671360380691659,0.6248431471133667,0.517418070682048,-0.1463629637176933,106,213
40,2.0,0.0,0.597250441722682,0.0534799022486947,0.6066762723373768,0.34502257920406265,-0.1257024303589822,24,49
20,1.5,0.0,0.6605303467466437,0.05804356104679953,0.6033985252302293,0.38882028949431086,-0.15294859554387075,59,119
10,2.0,0.5,0.5738361755477301,0.05175048728005227,0.6023780159100515,0.35933941220384963,-0.1102482284942633,58,116
40,2.0,0.5,0.6077850402912459,0.05425066573023041,0.5904466147259789,0.3531182529344221,-0.1257024303589822,22,45
10,2.0,0.0,0.5050770499468669,0.04653627870256427,0.5900268599410312,0.31024332966799983,-0.11457097859024856,61,122
40,1.0,0.0,0.6512765066808879,0.0573859395467915,0.5863543833673238,0.3816599727878061,-0.12791669486994206,39,79
10,1.5,0.0,0.608992157928669,0.054338697612377196,0.5822513041172949,0.3960889524938386,-0.14930133770855358,93,187
20,1.0,0.0,0.6286097578316545,0.0557611902595363,0.558454110481363,0.38496136303294776,-0.1554100311950013,75,151
40,1.5,0.0,0.5426359040713622,0.04941009826825882,0.5439385528596978,0.32381583527168717,-0.12791669486994173,29,59
20,2.0,0.0,0.5286706438467483,0.04834888235461854,0.5358796986478684,0.31039691404366915,-0.1169269165295942,42,85
40,1.5,0.5,0.5396352093601364,0.049182798678112816,0.5217361250859522,0.3289234467531537,-0.1257024303589822,26,53
10,1.0,0.0,0.5116875645976473,0.047046670925044776,0.483473275084569,0.36331580517232753,-0.16507419148856917,123,247
60,1.0,0.5,0.34747812270310297,0.033736694706222536,0.37425117489059795,0.2297717920391401,-0.16121016773485097,18,37
60,2.0,0.5,0.312718706616826,0.030735380475447105,0.3621464638812235,0.201805587381167,-0.1612101677348512,13,27
60,2.0,0.0,0.287244686838084,0.02849063382630468,0.3493827892733273,0.1829205904648702,-0.12420754332387818,14,29
60,1.0,0.0,0.25993906187927207,0.026040215199903072,0.309758188720393,0.177470319478405,-0.12420754332387862,20,41
60,1.5,0.5,0.21001211274145892,0.021435072426127855,0.2647812204689611,0.15047057917456397,-0.16121016773485142,14,29
60,1.5,0.0,0.14243622714318738,0.01492533223856607,0.20338392489989243,0.10945595784446109,-0.12420754332387773,15,31
