entry_date,exit_date,side,entry_price,exit_price,holding_days,trade_return,status
2010-07-26,2010-08-17,Long,83.99810791015625,82.51482391357422,16,-0.02142298875662685,Closed
2010-08-18,2010-08-19,Long,82.6654281616211,81.227294921875,1,-0.00017564709608519635,Closed
2010-10-26,2010-10-28,Long,89.86774444580078,89.62549591064453,2,-0.004689000602156379,Closed
2010-10-29,2010-11-01,Long,89.6936264038086,89.72391510009766,1,-0.0012395915082606956,Closed
2010-11-02,2011-08-03,Long,90.43547821044922,96.90462493896484,189,0.07207081410076932,Closed
2012-01-13,2012-01-17,Long,100.09807586669922,100.48654174804688,1,-0.007167206657379133,Closed
2012-01-18,2012-01-19,Long,101.59751892089844,102.13361358642578,1,0.009045923791501709,Closed
2012-01-20,2012-01-23,Long,102.51429748535156,102.25012969970705,1,0.0017245852299014874,Closed
2012-01-26,2015-06-30,Long,102.45993041992188,171.6245574951172,861,0.6596346552740233,Closed
2015-07-02,2015-08-21,Long,172.84178161621094,164.93798828125,35,-0.018978095695726505,Closed
2015-10-29,2015-11-02,Long,175.01429748535156,176.32162475585938,2,-0.006871341010341925,Closed
2015-11-03,2015-11-12,Long,176.8328399658203,171.67031860351562,7,-0.014566278432916469,Closed
2015-11-23,2015-11-24,Long,175.21542358398438,175.45004272460938,1,-0.0031442426854088046,Closed
2015-11-27,2015-12-01,Long,175.6260528564453,176.564697265625,2,-0.00500176301712596,Closed
2015-12-02,2015-12-04,Long,174.7628173828125,175.6763153076172,2,-0.026025998633403602,Closed
2015-12-07,2015-12-09,Long,174.6119842529297,172.0894012451172,2,-0.01471692776446576,Closed
2015-12-29,2016-01-04,Long,174.8502197265625,169.4715576171875,3,-0.008505724588276253,Closed
2016-02-25,2016-03-01,Long,164.85157775878906,167.0182647705078,3,-0.00012741607860888848,Closed
2016-03-02,2016-05-02,Long,167.7685546875,176.235107421875,42,0.04477565798125993,Closed
2016-05-03,2016-05-05,Long,174.7012939453125,173.6929168701172,2,-0.016212064090995848,Closed
2016-05-11,2016-05-16,Long,174.98939514160156,175.22671508789062,3,-0.019675012636255484,Closed
2016-05-17,2016-05-23,Long,173.59120178222656,173.8962860107422,4,-0.008234486984667555,Closed
2016-05-25,2016-06-27,Long,177.34521484375,170.02186584472656,22,-0.019147017088249285,Closed
2016-06-29,2018-07-24,Long,176.0356903076172,249.331298828125,520,0.4304316243620536,Closed
2018-07-25,2018-07-30,Long,251.45620727539065,247.8616180419922,3,-0.0026638712325257607,Closed
2018-08-01,2018-11-20,Long,248.6673126220703,234.90464782714844,78,-0.04106404158562682,Closed
2018-11-27,2018-11-28,Long,238.7112579345703,244.2076416015625,1,0.0013624986726608057,Closed
2018-11-29,2018-12-06,Long,243.6739959716797,239.99191284179688,4,-0.017739051528490757,Closed
