entry_date,exit_date,side,entry_price,exit_price,holding_days,trade_return,status
2010-02-05,2010-02-18,Long,79.60065460205078,82.7724609375,8,0.03382025237276043,Closed
2010-05-05,2010-06-16,Long,87.54212951660156,83.90010070800781,29,-0.04888124775737834,Closed
2010-06-30,2010-07-14,Long,77.71858215332031,82.55999755859375,9,0.05018463782057192,Closed
2010-08-20,2010-09-03,Long,80.96379089355469,83.49364471435547,10,0.01270718206894772,Closed
2011-03-11,2011-03-28,Long,99.5631103515625,100.10260772705078,11,0.012834330516262149,Closed
2011-05-24,2011-06-01,Long,100.84396362304688,100.78279876708984,5,0.019462297881449375,Closed
2011-06-02,2011-06-29,Long,100.67581939697266,100.39920043945312,19,-0.014240739781486211,Closed
2011-07-29,2011-08-30,Long,99.3316421508789,93.4560546875,22,-0.0699078503306173,Closed
2011-09-23,2011-10-11,Long,87.65531921386719,92.41096496582033,12,0.05743106990817215,Closed
2011-11-18,2011-12-01,Long,94.17118072509766,96.4795379638672,8,0.021538357242801176,Closed
2012-04-10,2012-04-27,Long,106.04581451416016,109.54945373535156,13,0.011991091973912793,Closed
2012-05-10,2012-06-11,Long,106.13947296142578,102.54218292236328,21,-0.021407114261775217,Closed
2012-10-11,2012-10-17,Long,113.04691314697266,115.28641510009766,4,0.013742992743824622,Closed
2012-10-24,2012-11-26,Long,111.20174407958984,111.2253875732422,20,-0.002495958324848724,Closed
2012-12-31,2013-01-03,Long,113.09427642822266,115.73079681396484,2,0.04099466812465513,Closed
2013-02-26,2013-02-28,Long,119.1376953125,120.400390625,2,0.017499563909834537,Closed
2013-04-19,2013-04-24,Long,124.02293395996094,125.93737030029295,3,0.02157771981159895,Closed
2013-06-06,2013-06-19,Long,129.80612182617188,130.3803253173828,9,0.025672490387073976,Closed
2013-06-21,2013-07-08,Long,127.55797576904295,131.4712677001953,10,0.026069952224506254,Closed
2013-08-16,2013-09-10,Long,132.97879028320312,135.41656494140625,16,0.005495851515872285,Closed
2013-10-09,2013-10-14,Long,133.44163513183594,137.74464416503906,3,0.026829690836923437,Closed
2013-12-13,2013-12-19,Long,143.52235412597656,146.24594116210938,4,0.01800242409852637,Closed
2014-01-27,2014-02-12,Long,144.22052001953125,147.50982666015625,12,0.015234536321538927,Closed
2014-04-11,2014-04-22,Long,147.7051239013672,152.89694213867188,6,0.01913283884079897,Closed
2014-08-01,2014-08-19,Long,157.39891052246094,162.21493530273438,12,0.02006721063685557,Closed
2014-09-24,2014-10-24,Long,163.934326171875,161.36312866210938,22,-0.017515106879438913,Closed
2014-12-11,2014-12-19,Long,167.73777770996094,170.588134765625,6,0.01578925842073331,Closed
2015-01-16,2015-01-23,Long,166.54898071289062,169.30789184570312,4,0.0335171499387954,Closed
2015-03-11,2015-03-23,Long,168.9196319580078,174.23707580566406,8,0.02900898232934246,Closed
2015-05-07,2015-05-11,Long,173.29942321777344,174.74313354492188,2,0.01517910685838908,Closed
2015-06-08,2015-06-19,Long,172.97584533691406,175.7599334716797,9,0.012315318572227563,Closed
2015-06-30,2015-07-14,Long,171.6245574951172,175.65150451660156,9,0.019136946881776362,Closed
2015-08-21,2015-09-17,Long,164.93798828125,166.5220947265625,18,-0.02057349052987789,Closed
2015-09-29,2015-10-06,Long,157.6578369140625,165.76197814941406,5,0.05352616252973541,Closed
2015-11-16,2015-11-23,Long,172.32403564453125,175.21542358398438,5,0.03137514194769331,Closed
2015-12-14,2015-12-30,Long,170.04446411132812,173.6109619140625,11,0.03139625085502118,Closed
2016-01-07,2016-02-05,Long,163.59547424316406,158.45278930664062,20,-0.03826452716656714,Closed
2016-02-09,2016-02-18,Long,156.32823181152344,161.9429931640625,6,0.0381537249869075,Closed
2016-05-16,2016-05-25,Long,175.22671508789062,177.34521484375,7,0.013168988697444206,Closed
2016-06-27,2016-07-01,Long,170.02186584472656,178.81265258789062,4,0.028623514579144693,Closed
2016-09-02,2016-09-07,Long,186.01046752929688,186.55563354492188,2,0.005534228354679982,Closed
2016-09-12,2016-09-23,Long,184.28126525878903,184.9125061035156,9,0.02139854185473289,Closed
2016-10-14,2016-11-09,Long,182.4554748535156,185.2463836669922,18,0.003155100330942684,Closed
2017-03-22,2017-04-21,Long,202.6307678222656,202.89889526367188,21,0.004877726344544975,Closed
2017-05-18,2017-05-23,Long,204.78440856933597,207.621337890625,3,0.013663808308594483,Closed
2017-06-28,2017-06-29,Long,211.62356567382807,209.7636260986328,1,0.006942407388120575,Closed
2017-06-30,2017-07-13,Long,210.1547088623047,212.43182373046875,8,0.00900210648308808,Closed
2017-08-11,2017-09-01,Long,212.171142578125,215.4042816162109,15,0.013273821933469376,Closed
2018-02-06,2018-02-27,Long,236.27032470703125,240.92318725585935,14,0.05084611461138455,Closed
2018-03-23,2018-04-17,Long,227.4504852294922,238.15089416503903,16,0.011832246784598599,Closed
2018-06-28,2018-07-10,Long,239.8401031494141,246.93199157714844,7,0.02968626956799736,Closed
2018-10-10,2018-11-08,Long,247.5161590576172,249.47280883789065,21,-0.02421968025299337,Closed
2018-11-21,2018-11-29,Long,235.70504760742188,243.6739959716797,5,0.037528636507389024,Closed
2018-12-10,2019-01-09,Long,234.86021423339844,230.7747344970703,20,-0.02206747175848045,Closed
2019-05-09,2019-06-07,Long,257.5697937011719,258.45928955078125,20,-0.011477672576684417,Closed
2019-08-02,2019-08-30,Long,264.2037048339844,264.05029296875,20,-0.009656813079840787,Closed
2019-10-02,2019-10-16,Long,261.2876281738281,270.6666564941406,10,0.017177392841858596,Closed
2020-02-03,2020-02-05,Long,295.441650390625,303.4083557128906,2,0.020746036234909226,Closed
2020-02-25,2020-04-07,Long,284.9865417480469,243.0921936035156,30,-0.17537208002235438,Closed
2020-06-29,2020-07-07,Long,280.381591796875,288.96441650390625,5,0.054559611291755905,Closed
2020-09-21,2020-10-02,Long,302.3166809082031,308.6686706542969,9,0.017276396608188582,Closed
2020-10-29,2020-11-06,Long,305.0997314453125,323.7580871582031,6,0.07005267088456923,Closed
2021-02-01,2021-02-03,Long,349.3452453613281,354.5637512207031,2,0.02897721497147754,Closed
2021-03-04,2021-03-11,Long,349.7817687988281,365.4090576171875,5,0.01933893827626143,Closed
2021-05-13,2021-05-25,Long,382.2098693847656,389.625244140625,8,0.03188633714322231,Closed
2021-06-21,2021-06-23,Long,393.3486328125,394.9749450683594,2,0.017714680403495997,Closed
2021-09-20,2021-10-15,Long,406.9667663574219,418.0588684082031,19,0.00047099578158471544,Closed
2021-11-29,2021-12-08,Long,435.6206665039063,440.2337341308594,7,0.018257329871089745,Closed
2022-01-19,2022-02-10,Long,425.0601806640625,422.7738037109375,16,0.00028636554018790505,Closed
2022-02-23,2022-03-17,Long,397.0208435058594,415.0111389160156,16,0.012038416139675379,Closed
2022-04-18,2022-05-31,Long,413.37451171875,389.7407836914063,30,-0.05335885703691545,Closed
2022-06-14,2022-07-08,Long,352.8742980957031,368.4278259277344,16,0.03970185716857433,Closed
2022-08-29,2022-10-19,Long,381.6607360839844,350.7431640625,36,-0.08241307642159856,Closed
2022-12-16,2023-01-11,Long,366.4765930175781,378.1899108886719,16,0.005016276963067501,Closed
2023-02-22,2023-03-22,Long,381.0775451660156,376.3601989746094,20,0.0013567530908653591,Closed
2023-05-05,2023-05-18,Long,396.0559997558594,402.3908386230469,9,0.022899939654758228,Closed
2023-08-10,2023-08-30,Long,429.589111328125,434.5023498535156,14,0.005636091008117461,Closed
2023-09-22,2023-10-12,Long,416.1287231445313,419.2611389160156,14,0.009404096969490405,Closed
2023-10-23,2023-11-03,Long,406.4993896484375,420.2568664550781,9,0.02067524834948209,Closed
2024-04-15,2024-05-06,Long,491.199462890625,503.001220703125,15,-0.00115204834535243,Closed
2024-07-25,2024-08-16,Long,525.9586791992188,541.4910888671875,16,0.019828083754199533,Closed
2024-11-01,2024-11-07,Long,559.545166015625,583.6205444335938,4,0.037318744853556796,Closed
2024-12-19,2025-01-21,Long,574.302001953125,592.899658203125,19,0.020659956731753137,Closed
2025-02-25,2025-04-25,Long,584.2379760742188,543.0003662109375,42,-0.08367962589624678,Closed
