Date,price,target_position,position,asset_return,gross_strategy_return,turnover,transaction_cost,strategy_return,portfolio,drawdown
2010-01-04,84.57849884033203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
2010-01-05,84.80236053466797,1.0,1.0,0.0026467920027588576,0.0026467920027588576,1.0,0.001,0.0016467920027588576,10016.46792002759,0.0
2010-01-06,84.8620834350586,1.0,1.0,0.0007042598816127121,0.0007042598816127121,0.0,0.0,0.0007042598816127121,10023.522116539125,0.0
2010-01-07,85.22030639648438,1.0,1.0,0.0042212369402869765,0.0042212369402869765,0.0,0.0,0.0042212369402869765,10065.833778369244,0.0
2010-01-08,85.50386810302734,1.0,1.0,0.003327395999067395,0.003327395999067395,0.0,0.0,0.003327395999067395,10099.326793410668,0.0
2010-01-11,85.62332916259766,1.0,1.0,0.0013971421670229134,0.0013971421670229134,0.0,0.0,0.0013971421670229134,10113.436988732286,0.0
2010-01-12,84.82476043701172,1.0,1.0,-0.009326532072462035,-0.009326532072462035,0.0,0.0,-0.009326532072462035,10019.11369429405,-0.009326532072462146
2010-01-13,85.5412368774414,1.0,1.0,0.008446548351429994,0.008446548351429994,0.0,0.0,0.008446548351429994,10103.74062255138,-0.0009587607251332342
2010-01-14,85.77254486083984,1.0,1.0,0.0027040523593298005,0.0027040523593298005,0.0,0.0,0.0027040523593298005,10131.061666219846,0.0
2010-01-15,84.8097915649414,1.0,1.0,-0.011224492609615777,-0.011224492609615777,0.0,0.0,-0.011224492609615777,10017.345639419802,-0.011224492609615555
2010-01-19,85.86961364746094,1.0,1.0,0.01249645899327545,0.01249645899327545,0.0,0.0,0.01249645899327545,10142.526988424277,0.0
2010-01-20,84.99640655517578,1.0,1.0,-0.01016898825083945,-0.01016898825083945,0.0,0.0,-0.01016898825083945,10039.387750645168,-0.01016898825083945
2010-01-21,83.36199951171875,1.0,1.0,-0.019229131085630624,-0.019229131085630624,0.0,0.0,-0.019229131085630624,9846.339047568537,-0.02920257852838648
2010-01-22,81.50370025634766,1.0,1.0,-0.022291922773635675,-0.022291922773635675,0.0,0.0,-0.022291922773635675,9626.845217917105,-0.05084351967667644
2010-01-25,81.92166137695312,1.0,1.0,0.005128124481353469,0.005128124481353469,0.0,0.0,0.005128124481353469,9676.212878557308,-0.045976127093295016
2010-01-26,81.578369140625,1.0,1.0,-0.004190494071506956,-0.004190494071506956,0.0,0.0,-0.004190494071506956,9635.664765855074,-0.04997395847678676
2010-01-27,81.96643829345703,1.0,1.0,0.0047570104296039695,0.0047570104296039695,0.0,0.0,0.0047570104296039695,9681.501723642414,-0.04545467468886544
2010-01-28,81.02606201171875,1.0,1.0,-0.011472699086564342,-0.011472699086564342,0.0,0.0,-0.011472699086564342,9570.42876766101,-0.056405885970646885
2010-01-29,80.14543914794922,1.0,1.0,-0.010868390267345873,-0.010868390267345873,0.0,0.0,-0.010868390267345873,9466.413612788236,-0.06666123505588828
2010-02-01,81.39176940917969,1.0,1.0,0.015550856973030491,0.015550856973030491,0.0,0.0,0.015550856973030491,9613.624456928255,-0.05214701741485739
2010-02-02,82.37686157226562,1.0,1.0,0.012103093104335771,0.012103093104335771,0.0,0.0,0.012103093104335771,9729.979048800576,-0.0406750645174071
2010-02-03,81.96643829345703,1.0,1.0,-0.0049822640845396116,-0.0049822640845396116,0.0,0.0,-0.0049822640845396116,9681.501723642416,-0.045454674688865215
2010-02-04,79.43644714355469,1.0,1.0,-0.0308661838012827,-0.0308661838012827,0.0,0.0,-0.0308661838012827,9382.670711968032,-0.07491784614657404
2010-02-05,79.60065460205078,1.0,1.0,0.002067155120864639,0.002067155120864639,0.0,0.0,0.002067155120864639,9402.066147777665,-0.07300555783501528
2010-02-08,79.0260009765625,1.0,1.0,-0.007219207283673201,-0.007219207283673201,0.0,0.0,-0.007219207283673201,9334.19068336205,-0.07969772286381738
2010-02-09,80.01856994628906,1.0,1.0,0.012560030337621875,0.012560030337621875,0.0,0.0,0.012560030337621875,9451.428401522226,-0.0681386983432044
2010-02-10,79.86186981201172,1.0,1.0,-0.0019582971100648994,-0.0019582971100648994,0.0,0.0,-0.0019582971100648994,9432.919696597539,-0.06996355963722034
2010-02-11,80.69771575927734,1.0,1.0,0.010466145473843058,0.010466145473843058,0.0,0.0,0.010466145473843058,9531.646006385208,-0.0602296629564083
2010-02-12,80.63053131103516,1.0,1.0,-0.0008325446093493394,-0.0008325446093493394,0.0,0.0,-0.0008325446093493394,9523.710485884365,-0.061012063684540485
2010-02-16,81.89925384521484,1.0,1.0,0.015735013940135767,0.015735013940135767,0.0,0.0,0.015735013940135767,9673.566203141574,-0.046237075416997175
2010-02-17,82.2873306274414,1.0,1.0,0.004738465419477533,0.004738465419477533,0.0,0.0,0.004738465419477533,9719.404062078187,-0.041717702780480925
2010-02-18,82.7724609375,1.0,1.0,0.005895565044575779,0.005895565044575779,0.0,0.0,0.005895565044575779,9776.705440920683,-0.036068087166157725
2010-02-19,82.94406127929688,1.0,1.0,0.0020731574228105565,0.0020731574228105565,0.0,0.0,0.0020731574228105565,9796.97409037616,-0.03406970456598235
2010-02-22,82.95901489257812,1.0,1.0,0.00018028552075466386,0.00018028552075466386,0.0,0.0,0.00018028552075466386,9798.740342951864,-0.03389556131965721
2010-02-23,81.95149230957031,1.0,1.0,-0.012144823372269187,-0.012144823372269187,0.0,0.0,-0.012144823372269187,9679.736372215984,-0.04562872908659532
2010-02-24,82.70526123046875,1.0,1.0,0.00919774490562153,0.00919774490562153,0.0,0.0,0.00919774490562153,9768.768118121292,-0.03685066559148009
2010-02-25,82.59329223632812,1.0,1.0,-0.0013538315758245822,-0.0013538315758245822,0.0,0.0,-0.0013538315758245822,9755.542851386072,-0.03815460757263678
2010-02-26,82.64557647705078,1.0,1.0,0.0006330325297247974,0.0006330325297247974,0.0,0.0,0.0006330325297247974,9761.718427356123,-0.03754572815066426
2010-03-01,83.50382995605469,1.0,1.0,0.010384747927098426,0.010384747927098426,0.0,0.0,0.010384747927098426,9863.09141255953,-0.02755088314614973
2010-03-02,83.73516845703125,1.0,1.0,0.0027703938980800924,0.0027703938980800924,0.0,0.0,0.0027703938980800924,9890.41606082509,-0.024856816046624597
2010-03-03,83.80978393554688,1.0,1.0,0.0008910888924038574,0.0008910888924038574,0.0,0.0,0.0008910888924038574,9899.229300718143,-0.023987876786900397
2010-03-04,84.06354522705078,1.0,1.0,0.0030278241941186224,0.0030278241941186224,0.0,0.0,0.0030278241941186224,9929.202426697986,-0.0210326836664827
2010-03-05,85.26505279541016,1.0,1.0,0.014292849119248663,0.014292849119248663,0.0,0.0,0.014292849119248663,10071.119018857258,-0.00704045152145194
2010-03-08,85.2800064086914,1.0,1.0,0.00017537798653721737,0.00017537798653721737,0.0,0.0,0.00017537798653721737,10072.88527143296,-0.00686630827512702
2010-03-09,85.42180633544922,1.0,1.0,0.0016627569899356764,0.0016627569899356764,0.0,0.0,0.0016627569899356764,10089.634031826856,-0.00521496828727086
2010-03-10,85.80243682861328,1.0,1.0,0.004455893752344009,0.004455893752344009,0.0,0.0,0.004455893752344009,10134.59236907271,-0.0007823118795368122
2010-03-11,86.16065216064453,1.0,1.0,0.004174885297800746,0.004174885297800746,0.0,0.0,0.004174885297800746,10176.903129753557,0.0
