short_window,long_window,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,completed_trades,orders
50,150,1.228223441757315,0.09323148789148883,0.8723936026558291,0.9900440916514408,-0.17351937826619834,6,12
50,100,1.0523441625332075,0.08327664302147553,0.7928252166238353,0.8952822506390795,-0.179606573772627,9,18
20,200,1.0911029644317174,0.08553380118065901,0.7815097271008408,0.8509551358135786,-0.17368726675331647,4,8
20,250,1.0022257102228473,0.08030109779545502,0.7327752848290449,0.7980176429413056,-0.1730808841676923,4,8
20,150,0.8986023962580014,0.0739329400612081,0.713198656463337,0.7999124748141723,-0.2000968552435034,7,14
50,200,0.981138698157177,0.07902933105997056,0.7078142676603613,0.7665852874125598,-0.19502046126821415,4,8
100,200,0.8936296664672763,0.07361963793055937,0.6488810374879742,0.6952854048127977,-0.19348886351065753,2,5
20,100,0.7645561992786243,0.06522026403495862,0.6480535541561944,0.7143403994412992,-0.22162313809497236,11,22
100,250,0.873945373083598,0.07237222789271214,0.6334635151576749,0.6741429839797184,-0.1955900682716495,2,5
100,150,0.7814887854201289,0.06635266922659144,0.6015341075113723,0.6347181158883549,-0.20748971803055138,7,15
50,250,0.7783268339158955,0.06614193499105148,0.5968710584215579,0.6398797377326464,-0.20356694751642068,4,8
